Epoch,Train Loss,Val Loss,Test Loss
1,13142.45091972884,9905.158847499722,9810.29678202129
2,8493.094404698304,7365.557579863288,7266.4053646541215
3,7092.504309317048,6796.217850580308,6694.665034897566
4,6844.69666534472,6741.142807985852,6638.739449101949
5,6825.065534615179,6739.350524928089,6636.73952798396
6,6824.656869155199,6739.604665478486,6636.9432440841465
7,6799.902243554537,6599.51568142112,6489.016357032843
8,6430.610573363636,6035.597708826565,5927.376550980069
9,5746.831299293991,5361.479460550024,5250.737693044671
10,5181.64377472325,4878.821544153238,4766.94027855991
11,4761.1999637943845,4429.624467380515,4324.905871219888
12,4305.281372184327,3918.565354644322,3823.3784906033607
13,3854.1236764803034,3611.8274740803827,3495.5343020267023
14,3499.3028978423886,3231.051504518175,3102.265623701319
15,3161.835507515719,2958.2719324028535,2812.568587079012
16,2847.7089689082572,2702.311794707404,2587.4298390967165
17,2583.508594281577,2363.4813108789713,2240.403062115224
18,2345.1929463065494,2359.0670342682038,2240.1732028815118
19,2181.3424262510484,2147.53497954354,2011.3233521692073
20,1992.7265043771176,1874.1752603129248,1750.824907345675
